,time,median_length,median_delay,median_speed_kmh,total_records,median_level,Year,Month,Date_no,Hour,Day,level
123,2022-07-09 17:00:00,801.0,83.5,19.145,10,2.0,2022,7,9,17,7,2
124,2022-07-09 17:00:00,226.0,134.5,5.08,12,4.0,2022,7,9,17,7,4
125,2022-07-09 17:00:00,1535.0,68.0,29.0,7,1.0,2022,7,9,17,7,1
126,2022-07-09 17:00:00,1535.0,80.0,27.18,3,2.0,2022,7,9,17,7,2
127,2022-07-09 17:00:00,274.0,129.0,6.26,6,3.0,2022,7,9,17,7,3
128,2022-07-09 19:00:00,1058.0,88.0,20.05,9,2.0,2022,7,9,19,7,2
129,2022-07-09 19:00:00,698.0,66.0,17.95,1,3.0,2022,7,9,19,7,3
130,2022-07-09 19:00:00,2751.0,99.5,30.46,12,1.0,2022,7,9,19,7,1
131,2022-07-09 20:00:00,1679.0,126.0,21.71,9,2.0,2022,7,9,20,7,2
132,2022-07-09 20:00:00,332.0,62.0,8.89,8,3.0,2022,7,9,20,7,3
133,2022-07-09 20:00:00,257.0,210.0,3.73,13,4.0,2022,7,9,20,7,4
134,2022-07-10 09:00:00,887.0,72.0,21.7,1,2.0,2022,7,10,9,1,2
135,2022-07-10 10:00:00,1216.0,99.0,21.130001,4,2.0,2022,7,10,10,1,2
136,2022-07-10 10:00:00,1005.0,103.5,17.36,6,3.0,2022,7,10,10,1,3
137,2022-07-10 12:00:00,1462.0,63.0,28.82,8,1.0,2022,7,10,12,1,1
138,2022-07-10 13:00:00,371.0,86.0,10.88,7,3.0,2022,7,10,13,1,3
139,2022-07-10 14:00:00,561.0,72.0,11.56,1,3.0,2022,7,10,14,1,3
140,2022-07-10 17:00:00,1075.0,64.0,21.165,14,2.0,2022,7,10,17,1,2
141,2022-07-10 17:00:00,2113.0,99.5,30.295,10,1.0,2022,7,10,17,1,1
142,2022-07-10 18:00:00,346.0,93.0,8.45,13,3.0,2022,7,10,18,1,3
143,2022-07-10 18:00:00,721.0,67.5,19.395,6,2.0,2022,7,10,18,1,2
144,2022-07-10 20:00:00,666.0,66.0,19.94,1,2.0,2022,7,10,20,1,2
145,2022-07-10 20:00:00,1845.0,103.0,24.42,15,1.0,2022,7,10,20,1,1
146,2022-07-10 20:00:00,922.0,105.0,17.66,1,2.0,2022,7,10,20,1,2
147,2022-07-10 21:00:00,466.0,74.5,11.92,10,3.0,2022,7,10,21,1,3
148,2022-07-10 21:00:00,1752.5,103.0,23.564999,6,1.0,2022,7,10,21,1,1
149,2022-07-10 21:00:00,1660.0,158.0,19.26,12,2.0,2022,7,10,21,1,2
150,2022-07-10 21:00:00,2326.0,104.5,32.379997,12,1.0,2022,7,10,21,1,1
151,2022-07-10 22:00:00,2283.0,64.0,32.78,1,1.0,2022,7,10,22,1,1
152,2022-07-11 00:00:00,486.0,82.0,12.49,7,3.0,2022,7,11,0,2,3
153,2022-07-11 01:00:00,486.0,78.0,12.82,1,3.0,2022,7,11,1,2,3
154,2022-07-11 06:00:00,418.0,65.0,12.17,1,3.0,2022,7,11,6,2,3
155,2022-07-11 08:00:00,698.0,76.0,16.77,7,3.0,2022,7,11,8,2,3
156,2022-07-11 08:00:00,561.0,79.0,11.18,1,3.0,2022,7,11,8,2,3
157,2022-07-11 08:00:00,1041.0,93.0,18.39,1,2.0,2022,7,11,8,2,2
158,2022-07-11 10:00:00,1080.0,78.0,22.73,11,2.0,2022,7,11,10,2,2
159,2022-07-11 11:00:00,1210.5,135.0,16.075,2,2.0,2022,7,11,11,2,2
160,2022-07-11 11:00:00,1585.0,72.0,23.98,3,1.0,2022,7,11,11,2,1
161,2022-07-11 11:00:00,418.0,62.0,12.42,2,3.0,2022,7,11,11,2,3
162,2022-07-11 12:00:00,361.0,101.0,7.82,16,3.0,2022,7,11,12,2,3
163,2022-07-11 12:00:00,1519.0,72.0,26.19,13,1.0,2022,7,11,12,2,1
164,2022-07-11 12:00:00,998.0,111.0,13.86,3,2.0,2022,7,11,12,2,2
165,2022-07-11 13:00:00,464.0,88.0,12.35,5,3.0,2022,7,11,13,2,3
166,2022-07-11 13:00:00,1504.0,69.0,26.685,2,1.0,2022,7,11,13,2,1
167,2022-07-11 14:00:00,561.0,94.5,10.23,10,3.0,2022,7,11,14,2,3
168,2022-07-11 14:00:00,1127.0,81.0,26.675,8,2.0,2022,7,11,14,2,2
169,2022-07-11 14:00:00,516.0,102.0,12.42,13,3.0,2022,7,11,14,2,3
170,2022-07-11 14:00:00,836.0,80.0,19.119999,8,1.0,2022,7,11,14,2,1
171,2022-07-11 14:00:00,1434.0,76.0,22.79,7,2.0,2022,7,11,14,2,2
172,2022-07-11 15:00:00,1127.0,78.0,27.21,3,2.0,2022,7,11,15,2,2
173,2022-07-11 15:00:00,1291.0,98.0,24.49,1,1.0,2022,7,11,15,2,1
174,2022-07-11 15:00:00,553.0,64.0,12.47,9,3.0,2022,7,11,15,2,3
175,2022-07-11 16:00:00,1041.0,78.0,19.83,7,2.0,2022,7,11,16,2,2
176,2022-07-11 16:00:00,796.0,112.0,14.21,9,3.0,2022,7,11,16,2,3
177,2022-07-11 16:00:00,1754.0,100.0,22.31,1,1.0,2022,7,11,16,2,1
178,2022-07-11 16:00:00,561.0,77.0,11.25,1,3.0,2022,7,11,16,2,3
179,2022-07-11 16:00:00,692.0,82.0,14.69,9,2.0,2022,7,11,16,2,2
180,2022-07-11 17:00:00,1721.0,60.0,35.065,4,1.0,2022,7,11,17,2,1
181,2022-07-11 17:00:00,2433.0,152.0,25.39,6,2.0,2022,7,11,17,2,2
182,2022-07-11 17:00:00,497.0,61.0,13.645,6,2.0,2022,7,11,17,2,2
183,2022-07-11 17:00:00,771.0,113.5,12.825001,22,3.0,2022,7,11,17,2,3
184,2022-07-11 17:00:00,2194.0,115.0,25.16,6,1.0,2022,7,11,17,2,1
185,2022-07-11 17:00:00,1086.0,170.0,21.14,1,2.0,2022,7,11,17,2,2
186,2022-07-11 18:00:00,1823.0,123.0,24.17,7,1.0,2022,7,11,18,2,1
187,2022-07-11 18:00:00,1718.0,109.5,23.220001,4,2.0,2022,7,11,18,2,2
188,2022-07-11 18:00:00,1823.0,133.5,23.310001,2,2.0,2022,7,11,18,2,2
189,2022-07-11 18:00:00,361.0,74.0,9.1,5,3.0,2022,7,11,18,2,3
190,2022-07-11 18:00:00,918.0,64.0,22.09,9,1.0,2022,7,11,18,2,1
191,2022-07-11 19:00:00,806.0,122.0,13.58,11,3.0,2022,7,11,19,2,3
192,2022-07-11 19:00:00,1304.0,99.0,29.93,3,1.0,2022,7,11,19,2,1
193,2022-07-11 19:00:00,1660.0,87.0,25.43,11,1.0,2022,7,11,19,2,1
194,2022-07-11 20:00:00,867.0,65.5,21.349998,8,2.0,2022,7,11,20,2,2
195,2022-07-11 20:00:00,1238.0,80.5,22.515,4,2.0,2022,7,11,20,2,2
196,2022-07-11 21:00:00,1238.0,79.0,22.59,5,2.0,2022,7,11,21,2,2
197,2022-07-11 21:00:00,2201.0,116.0,26.59,5,1.0,2022,7,11,21,2,1
198,2022-07-12 02:00:00,754.0,138.0,13.49,9,3.0,2022,7,12,2,3,3
199,2022-07-12 07:00:00,380.0,183.0,5.76,11,4.0,2022,7,12,7,3,4
200,2022-07-12 08:00:00,712.0,66.0,17.97,5,2.0,2022,7,12,8,3,2
201,2022-07-12 11:00:00,951.0,71.0,22.05,4,2.0,2022,7,12,11,3,2
202,2022-07-12 11:00:00,1069.0,131.0,15.69,11,3.0,2022,7,12,11,3,3
203,2022-07-12 12:00:00,2201.0,179.0,22.134998,4,2.0,2022,7,12,12,3,2
204,2022-07-12 13:00:00,839.0,67.0,19.745,2,2.0,2022,7,12,13,3,2
205,2022-07-12 13:00:00,2201.0,200.0,20.81,1,2.0,2022,7,12,13,3,2
206,2022-07-12 14:00:00,1194.0,84.0,22.16,5,1.0,2022,7,12,14,3,1
207,2022-07-12 14:00:00,839.0,77.0,20.33,36,2.0,2022,7,12,14,3,2
208,2022-07-12 14:00:00,721.0,177.0,10.69,11,3.0,2022,7,12,14,3,3
209,2022-07-12 15:00:00,346.0,103.5,7.855,8,3.0,2022,7,12,15,3,3
210,2022-07-12 15:00:00,1035.0,108.5,19.965,10,2.0,2022,7,12,15,3,2
211,2022-07-12 15:00:00,1124.0,163.0,15.64,3,3.0,2022,7,12,15,3,3
212,2022-07-12 15:00:00,1318.0,72.0,24.83,1,1.0,2022,7,12,15,3,1
213,2022-07-12 15:00:00,721.0,72.0,18.78,5,2.0,2022,7,12,15,3,2
214,2022-07-12 15:00:00,1535.0,77.0,27.755001,4,1.0,2022,7,12,15,3,1
215,2022-07-12 15:00:00,1322.0,68.0,28.51,9,1.0,2022,7,12,15,3,1
216,2022-07-12 16:00:00,836.0,76.0,17.81,11,1.0,2022,7,12,16,3,1
217,2022-07-12 16:00:00,1005.0,86.0,19.0,1,2.0,2022,7,12,16,3,2
218,2022-07-12 16:00:00,2194.0,120.5,23.814999,24,1.0,2022,7,12,16,3,1
219,2022-07-12 16:00:00,1660.0,215.5,14.940001,22,2.0,2022,7,12,16,3,2
220,2022-07-12 16:00:00,867.0,81.0,15.450001,2,2.0,2022,7,12,16,3,2
221,2022-07-12 16:00:00,418.0,83.0,10.63,5,3.0,2022,7,12,16,3,3
222,2022-07-12 17:00:00,2191.0,111.0,24.185,10,1.0,2022,7,12,17,3,1
223,2022-07-12 17:00:00,694.0,79.0,18.76,9,2.0,2022,7,12,17,3,2
224,2022-07-12 18:00:00,1585.0,78.5,23.005001,6,2.0,2022,7,12,18,3,2
225,2022-07-12 18:00:00,1291.0,63.0,24.8,7,1.0,2022,7,12,18,3,1
226,2022-07-12 19:00:00,2201.0,135.0,24.94,9,1.0,2022,7,12,19,3,1
227,2022-07-12 23:00:00,561.0,71.0,11.66,1,3.0,2022,7,12,23,3,3
228,2022-07-13 07:00:00,2984.0,117.5,31.15,6,1.0,2022,7,13,7,4,1
229,2022-07-13 08:00:00,1455.0,72.0,27.1,2,1.0,2022,7,13,8,4,1
230,2022-07-13 08:00:00,2706.0,122.5,27.265,18,1.0,2022,7,13,8,4,1
231,2022-07-13 09:00:00,478.0,86.0,11.55,3,3.0,2022,7,13,9,4,3
232,2022-07-13 10:00:00,380.0,71.0,8.98,9,3.0,2022,7,13,10,4,3
233,2022-07-13 11:00:00,658.0,73.0,16.2,15,2.0,2022,7,13,11,4,2
234,2022-07-13 11:00:00,2007.0,90.5,25.295,2,1.0,2022,7,13,11,4,1
235,2022-07-13 11:00:00,1632.0,80.0,22.75,2,2.0,2022,7,13,11,4,2
236,2022-07-13 11:00:00,1291.0,96.0,25.96,1,1.0,2022,7,13,11,4,1
237,2022-07-13 12:00:00,666.0,65.0,19.73,2,2.0,2022,7,13,12,4,2
238,2022-07-13 12:00:00,2007.0,90.0,25.33,1,1.0,2022,7,13,12,4,1
239,2022-07-13 13:00:00,2191.0,109.5,26.18,12,1.0,2022,7,13,13,4,1
240,2022-07-13 14:00:00,561.0,112.5,9.355,10,3.0,2022,7,13,14,4,3
241,2022-07-13 14:00:00,1452.0,75.0,26.07,10,2.0,2022,7,13,14,4,2
242,2022-07-13 14:00:00,721.0,283.0,7.43,9,3.0,2022,7,13,14,4,3
243,2022-07-13 15:00:00,2201.0,88.5,29.279999,22,1.0,2022,7,13,15,4,1
244,2022-07-13 15:00:00,835.0,90.0,13.6,1,2.0,2022,7,13,15,4,2
245,2022-07-13 15:00:00,380.0,72.0,8.94,8,3.0,2022,7,13,15,4,3
246,2022-07-13 15:00:00,2204.0,94.0,29.95,19,1.0,2022,7,13,15,4,1
247,2022-07-13 15:00:00,1762.0,107.0,23.45,17,2.0,2022,7,13,15,4,2
248,2022-07-13 15:00:00,1041.0,123.0,16.04,1,3.0,2022,7,13,15,4,3
249,2022-07-13 16:00:00,360.0,85.0,10.75,7,3.0,2022,7,13,16,4,3
250,2022-07-13 16:00:00,2751.0,94.0,31.11,5,1.0,2022,7,13,16,4,1
251,2022-07-13 16:00:00,1823.0,83.0,29.24,2,1.0,2022,7,13,16,4,1
252,2022-07-13 16:00:00,380.0,68.0,9.15,3,3.0,2022,7,13,16,4,3
253,2022-07-13 16:00:00,1535.0,91.0,25.83,13,2.0,2022,7,13,16,4,2
254,2022-07-13 16:00:00,505.0,75.5,10.74,2,3.0,2022,7,13,16,4,3
255,2022-07-13 17:00:00,985.0,99.0,22.34,3,1.0,2022,7,13,17,4,1
256,2022-07-13 17:00:00,418.0,102.0,9.35,3,3.0,2022,7,13,17,4,3
